Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition
27,7325,5.5,3,No,No
37,5215,6.0,3,No,Yes
37,11049,0.7,1,No,Yes
40,9520,1.2,3,Yes,No
30,7001,2.4,2,No,Yes
30,8589,1.0,3,Yes,No
50,4393,11.4,4,Yes,No
40,6425,4.5,4,No,No
55,10114,19.4,3,No,No
39,11045,7.0,4,No,No
52,3656,1.3,2,No,No
52,5339,2.0,1,Yes,No
25,9781,0.1,4,No,Yes
52,5008,3.5,3,No,No
51,5516,0.1,4,No,No
45,3159,2.1,4,No,No
21,10394,0.0,4,No,No
54,3281,0.1,3,No,Yes
26,8814,7.2,2,Yes,Yes
56,3103,2.1,2,No,No
48,4789,3.1,1,Yes,Yes
34,11273,0.4,4,No,No
33,3377,3.6,4,Yes,No
42,9887,5.7,4,Yes,No
53,4328,2.9,3,Yes,Yes
33,10260,4.3,2,Yes,Yes
47,5466,1.2,2,No,No
36,7483,2.7,3,No,No
45,10173,8.7,1,Yes,No
46,3079,11.6,3,Yes,No
44,5918,2.6,3,No,No
29,11056,0.6,3,Yes,Yes
56,4792,7.4,3,Yes,Yes
43,7765,5.4,3,No,No
53,11129,7.0,3,No,No
36,9106,0.3,3,No,Yes
22,11187,2.0,2,No,No
58,7631,11.3,4,Yes,Yes
59,8775,10.6,2,No,No
49,2832,1.8,3,No,No
37,11444,2.4,4,No,No
45,6321,3.9,1,No,Yes
32,7442,7.6,3,No,No
29,7415,10.5,3,No,No
54,5280,3.8,3,Yes,Yes
29,11592,1.6,1,Yes,Yes
56,8642,0.9,4,No,No
44,7398,3.2,4,No,No
51,3697,5.0,2,No,No
27,9365,0.1,3,Yes,Yes
49,8482,0.4,2,No,No
49,11491,3.4,1,No,No
21,7785,4.6,2,No,No
58,5427,0.8,4,Yes,No
31,8334,2.7,2,Yes,Yes
49,3655,0.7,4,No,No
52,4426,8.2,3,Yes,Yes
32,7823,7.5,4,No,No
59,8511,4.5,4,No,No
35,11666,0.7,3,No,No
31,2564,11.0,4,No,No
45,10787,1.5,3,No,No
50,6178,0.2,1,Yes,Yes
56,2504,13.0,2,No,No
25,6092,1.8,2,Yes,Yes
22,8068,3.7,4,Yes,No
50,5814,0.8,3,No,No
57,5640,19.8,3,No,No
34,10192,1.8,2,No,Yes
22,6364,7.9,4,Yes,No
24,11587,1.7,3,No,No
24,4736,16.5,4,No,No
27,3165,0.3,3,No,Yes
31,6942,8.2,3,No,No
43,9347,9.6,4,No,No
28,5636,7.4,3,No,No
39,4594,2.4,4,Yes,Yes
59,7707,2.7,3,No,Yes
47,10245,10.8,2,No,Yes
22,7842,0.2,2,No,No
34,8085,9.6,1,Yes,Yes
48,6079,4.4,2,Yes,No
44,8612,3.4,1,No,Yes
33,9649,4.1,2,No,No
35,2971,4.3,2,No,Yes
32,11779,9.8,4,No,No
50,6438,3.8,3,Yes,Yes
53,6695,1.7,4,No,No
21,7050,22.4,2,No,No
52,9380,0.6,4,Yes,Yes
43,6816,3.5,4,No,No
41,8142,0.9,4,Yes,No
43,5119,0.8,3,Yes,Yes
32,4689,5.3,2,Yes,Yes
23,7230,0.7,3,Yes,No
31,3373,5.5,3,Yes,Yes
50,2659,2.1,3,No,Yes
52,9161,6.7,4,No,No
45,3621,1.1,3,Yes,Yes
43,8316,0.3,1,No,No
58,11220,8.3,1,No,No
48,10368,9.3,3,Yes,No
28,3245,7.9,4,No,No
47,6768,5.8,3,Yes,Yes
37,7602,2.7,3,No,No
37,5585,3.1,3,No,Yes
54,5804,1.6,4,Yes,No
59,11579,9.8,2,No,No
57,3745,0.0,4,No,Yes
34,10521,6.4,1,No,Yes
47,9860,0.3,2,Yes,Yes
38,4003,5.4,2,Yes,Yes
34,5825,6.5,3,No,No
48,7347,1.8,3,No,No
50,11060,0.2,2,No,No
39,2205,0.2,2,No,Yes
38,10973,1.3,4,Yes,No
46,2754,2.2,3,No,Yes
41,5132,0.3,1,No,No
50,2233,11.3,3,Yes,No
47,11699,4.4,1,No,No
22,11627,4.0,3,Yes,Yes
57,6451,6.2,1,No,Yes
55,9155,6.1,4,No,Yes
21,2695,6.9,3,No,No
35,7633,3.2,3,Yes,No
48,5613,1.4,3,No,Yes
23,7604,1.1,1,Yes,Yes
56,5210,2.8,4,No,No
31,8719,0.2,2,No,No
35,6900,5.0,1,No,No
21,7029,0.9,3,Yes,No
30,7012,6.2,3,No,No
23,5625,2.9,4,No,No
43,7195,8.9,3,Yes,Yes
59,9239,3.3,4,Yes,No
22,8400,1.4,2,No,No
44,3520,11.0,3,Yes,Yes
52,8678,2.4,3,Yes,No
51,4150,0.5,2,No,Yes
40,8557,1.8,3,Yes,Yes
28,9454,7.5,1,Yes,Yes
46,8499,4.2,3,Yes,Yes
36,9951,0.0,1,No,Yes
51,6204,5.0,2,No,Yes
41,11911,5.6,4,No,No
21,10886,13.6,4,No,No
52,7398,4.2,2,No,No
28,5168,1.1,3,No,Yes
42,11367,8.6,2,No,No
37,7854,0.4,2,Yes,Yes
25,3627,1.0,2,Yes,Yes
44,6220,1.8,1,Yes,No
56,3361,2.4,3,No,Yes
35,6992,5.7,1,No,Yes
41,4777,1.3,3,No,No
31,3714,3.7,3,No,No
35,9642,5.6,4,No,No
21,5267,5.5,4,No,No
50,11575,1.9,3,No,No
37,8960,4.7,4,No,No
37,5982,10.7,4,Yes,No
57,5065,8.0,4,No,No
36,3584,2.0,3,No,No
22,5644,2.5,3,Yes,Yes
49,7631,9.2,4,No,No
44,2342,1.9,3,Yes,Yes
40,7811,1.9,4,Yes,Yes
28,4283,6.1,4,No,Yes
49,3821,5.1,1,No,No
58,3702,4.0,4,No,No
33,5037,2.3,4,Yes,No
52,8166,10.2,2,Yes,No
38,4736,5.4,3,No,No
29,8781,1.5,2,Yes,Yes
32,7071,6.6,4,No,No
58,5675,2.0,3,No,No
26,11615,10.5,3,Yes,No
33,11359,0.8,3,No,No
26,4190,0.2,3,Yes,Yes
47,6774,8.0,1,Yes,No
36,7674,2.3,1,Yes,No
31,5607,1.2,2,No,No
25,5810,1.3,2,No,No
32,11604,8.6,3,No,No
33,8003,1.3,2,Yes,No
23,11372,1.6,4,No,No
27,5603,11.9,2,Yes,Yes
32,8546,0.0,3,No,No
45,7555,1.7,3,No,No
36,9975,1.1,2,No,Yes
52,4344,0.0,1,No,Yes
22,2569,0.9,3,No,No
32,10141,15.3,2,Yes,No
21,10930,7.3,1,Yes,No
24,2644,2.5,3,Yes,No
21,10806,1.5,1,No,Yes
44,6889,0.2,2,Yes,Yes
55,2935,2.8,2,Yes,Yes
45,4662,9.4,4,No,No
37,3860,0.3,2,No,Yes
32,7326,4.6,1,Yes,Yes
56,11957,4.5,3,Yes,No
47,6073,0.1,2,No,No
39,8947,3.0,1,No,Yes
51,5146,3.5,4,No,No
42,3512,14.5,1,No,Yes
24,11795,6.3,2,Yes,Yes
35,10877,0.4,1,No,No
56,3171,0.8,2,Yes,Yes
51,4660,2.1,1,No,No
24,7518,8.0,3,No,No
34,9503,2.6,4,No,No
56,5210,7.2,3,No,No
52,2698,2.9,3,No,Yes
24,4839,6.7,4,Yes,No
36,7732,5.1,3,Yes,No
25,10642,0.3,1,No,No
25,2391,2.9,4,No,No
29,9174,0.4,4,No,No
37,8160,0.2,4,Yes,No
35,5435,0.3,2,Yes,Yes
22,6763,1.8,4,Yes,No
45,2585,3.9,2,Yes,Yes
36,7001,2.9,2,No,Yes
34,9740,3.1,3,Yes,Yes
36,5264,3.5,3,No,No
29,7699,3.9,2,No,No
48,8797,2.4,2,No,No
40,3352,3.5,2,No,Yes
59,6315,6.1,1,Yes,Yes
57,5050,2.1,3,No,No
27,4482,13.0,3,No,No
29,8053,2.4,3,No,No
44,2646,4.1,4,No,No
40,7235,9.9,4,No,No
53,9288,0.8,2,No,No
45,4307,0.5,3,No,No
47,2534,5.0,3,No,No
36,10662,2.3,2,No,No
30,10562,23.6,2,No,No
30,5524,5.7,3,Yes,No
37,10528,0.6,2,No,Yes
42,4418,5.7,2,No,Yes
57,4153,5.4,2,No,No
51,9176,1.5,2,No,No
41,3481,4.0,2,No,No
48,5692,2.7,1,Yes,Yes
47,8552,8.6,3,No,No
25,4766,0.1,3,Yes,Yes
33,2262,2.6,2,No,No
47,11116,0.8,3,No,No
51,5376,1.0,4,No,Yes
26,4799,3.1,2,No,No
42,7292,2.5,2,No,Yes
46,10359,8.8,3,No,No
51,6279,0.1,4,No,No
